# l, t, x, y
0 0.0000 -0.1434 0.1440
0 -0.0543 -0.1434 0.1409
0 -0.0622 -0.1434 0.1379
0 -0.1102 -0.1403 0.1409
0 -0.1343 -0.1403 0.1440
0 -0.1502 -0.1403 0.1501
0 -0.1582 -0.1403 0.1532
0 -0.1662 -0.1403 0.1562
0 -0.1741 -0.1403 0.1624
0 -0.1823 -0.1403 0.1654
0 -0.1902 -0.1403 0.1716
0 -0.1983 -0.1403 0.1746
0 -0.2062 -0.1403 0.1777
0 -0.2142 -0.1403 0.1838
0 -0.2222 -0.1403 0.1869
0 -0.2302 -0.1403 0.1900
0 -0.2382 -0.1403 0.1961
0 -0.2462 -0.1403 0.2022
0 -0.2541 -0.1403 0.2053
0 -0.2621 -0.1403 0.2175
0 -0.2701 -0.1403 0.2237
0 -0.2781 -0.1403 0.2359
0 -0.2862 -0.1403 0.2420
0 -0.2942 -0.1403 0.2482
0 -0.3022 -0.1403 0.2574
0 -0.3101 -0.1403 0.2604
0 -0.3181 -0.1403 0.2665
0 -0.3261 -0.1403 0.2788
0 -0.3342 -0.1403 0.2849
0 -0.3422 -0.1403 0.2911
0 -0.3501 -0.1403 0.3002
0 -0.3582 -0.1403 0.3064
0 -0.3662 -0.1403 0.3186
0 -0.3741 -0.1403 0.3217
0 -0.3823 -0.1403 0.3278
0 -0.3902 -0.1403 0.3401
0 -0.3985 -0.1403 0.3431
0 -0.4062 -0.1403 0.3493
0 -0.4143 -0.1403 0.3554
0 -0.4222 -0.1403 0.3615
0 -0.4301 -0.1403 0.3646
0 -0.4381 -0.1403 0.3707
0 -0.4462 -0.1373 0.3768
0 -0.4542 -0.1373 0.3830
0 -0.4622 -0.1373 0.3891
0 -0.4702 -0.1373 0.3922
0 -0.4782 -0.1373 0.4013
0 -0.4862 -0.1342 0.4044
0 -0.4941 -0.1342 0.4105
0 -0.5021 -0.1342 0.4167
0 -0.5101 -0.1311 0.4228
0 -0.5181 -0.1281 0.4289
0 -0.5262 -0.1281 0.4320
0 -0.5341 -0.1281 0.4350
0 -0.5421 -0.1250 0.4442
0 -0.5501 -0.1250 0.4473
0 -0.5581 -0.1250 0.4534
0 -0.5663 -0.1219 0.4596
0 -0.5741 -0.1219 0.4626
0 -0.5822 -0.1219 0.4687
0 -0.5902 -0.1189 0.4718
0 -0.5981 -0.1189 0.4779
0 -0.6062 -0.1158 0.4810
0 -0.6144 -0.1158 0.4871
0 -0.6222 -0.1127 0.4902
0 -0.6303 -0.1097 0.4963
0 -0.6382 -0.1097 0.4994
0 -0.6462 -0.1066 0.5025
0 -0.6542 -0.1036 0.5086
0 -0.6621 -0.1036 0.5116
0 -0.6702 -0.1005 0.5178
0 -0.6782 -0.0974 0.5208
0 -0.6862 -0.0944 0.5239
0 -0.6942 -0.0913 0.5270
0 -0.7022 -0.0913 0.5300
0 -0.7102 -0.0882 0.5300
0 -0.7182 -0.0852 0.5331
0 -0.7262 -0.0852 0.5362
0 -0.7341 -0.0790 0.5392
0 -0.7503 -0.0760 0.5423
0 -0.7583 -0.0760 0.5453
0 -0.7662 -0.0729 0.5453
0 -0.7742 -0.0699 0.5453
0 -0.7823 -0.0699 0.5484
0 -0.7902 -0.0668 0.5515
0 -0.8062 -0.0607 0.5545
0 -0.8143 -0.0576 0.5545
0 -0.8222 -0.0515 0.5576
0 -0.8301 -0.0515 0.5607
0 -0.8381 -0.0484 0.5607
0 -0.8462 -0.0423 0.5607
0 -0.8542 -0.0362 0.5637
0 -0.8623 -0.0331 0.5637
0 -0.8701 -0.0270 0.5637
0 -0.8782 -0.0208 0.5637
0 -0.8862 -0.0147 0.5637
0 -0.8942 -0.0086 0.5637
0 -0.9022 -0.0055 0.5637
0 -0.9103 0.0037 0.5637
0 -0.9181 0.0067 0.5637
0 -0.9262 0.0129 0.5637
0 -0.9342 0.0159 0.5607
0 -0.9422 0.0190 0.5607
0 -0.9583 0.0221 0.5607
0 -0.9663 0.0221 0.5576
0 -0.9742 0.0282 0.5545
0 -0.9902 0.0312 0.5545
0 -0.9981 0.0312 0.5515
0 -1.0142 0.0343 0.5484
0 -1.0222 0.0343 0.5453
0 -1.0302 0.0374 0.5453
0 -1.0381 0.0404 0.5423
0 -1.0462 0.0466 0.5362
0 -1.0623 0.0496 0.5331
0 -1.0702 0.0527 0.5300
0 -1.0863 0.0558 0.5270
0 -1.0942 0.0588 0.5270
0 -1.1022 0.0588 0.5239
0 -1.1102 0.0619 0.5208
0 -1.1181 0.0650 0.5178
0 -1.1262 0.0680 0.5147
0 -1.1342 0.0711 0.5086
0 -1.1422 0.0741 0.5055
0 -1.1502 0.0803 0.5025
0 -1.1582 0.0803 0.4994
0 -1.1661 0.0833 0.4963
0 -1.1742 0.0895 0.4871
0 -1.1822 0.0925 0.4841
0 -1.1901 0.0956 0.4810
0 -1.1981 0.1048 0.4687
0 -1.2069 0.1078 0.4657
0 -1.2141 0.1109 0.4596
0 -1.2221 0.1201 0.4534
0 -1.2302 0.1232 0.4504
0 -1.2381 0.1262 0.4442
0 -1.2541 0.1293 0.4412
0 -1.2783 0.1324 0.4381
0 -1.2862 0.1354 0.4320
0 -1.3022 0.1385 0.4289
0 -1.3101 0.1446 0.4228
0 -1.3181 0.1446 0.4167
0 -1.3261 0.1477 0.4136
0 -1.3341 0.1507 0.4105
0 -1.3502 0.1538 0.4075
0 -1.3581 0.1569 0.4044
0 -1.3662 0.1569 0.4013
0 -1.3742 0.1630 0.3952
0 -1.3822 0.1661 0.3922
0 -1.3907 0.1752 0.3860
0 -1.3982 0.1814 0.3799
0 -1.4061 0.1844 0.3738
0 -1.4142 0.1967 0.3646
0 -1.4222 0.2028 0.3585
0 -1.4301 0.2089 0.3554
0 -1.4381 0.2181 0.3462
0 -1.4462 0.2212 0.3431
0 -1.4541 0.2273 0.3401
0 -1.4622 0.2365 0.3309
0 -1.4701 0.2457 0.3278
0 -1.4781 0.2610 0.3186
0 -1.4861 0.2672 0.3156
0 -1.4943 0.2733 0.3094
0 -1.5021 0.2855 0.3033
0 -1.5103 0.2917 0.3002
0 -1.5182 0.3039 0.2941
0 -1.5262 0.3162 0.2911
0 -1.5343 0.3192 0.2911
0 -1.5422 0.3223 0.2911
0 -1.5582 0.3254 0.2911
0 -1.5742 0.3284 0.2911
0 -1.5821 0.3315 0.2911
0 -1.5902 0.3346 0.2911
0 -1.5982 0.3376 0.2880
0 -1.6070 0.3468 0.2880
0 -1.6142 0.3499 0.2880
0 -1.6222 0.3560 0.2880
0 -1.6301 0.3652 0.2880
0 -1.6381 0.3683 0.2880
0 -1.6461 0.3744 0.2880
0 -1.6541 0.3836 0.2880
0 -1.6621 0.3897 0.2880
0 -1.6701 0.3958 0.2880
0 -1.6782 0.4020 0.2911
0 -1.6861 0.4050 0.2911
0 -1.6941 0.4112 0.2911
0 -1.7021 0.4142 0.2911
0 -1.7102 0.4203 0.2941
0 -1.7181 0.4265 0.2941
0 -1.7263 0.4295 0.2972
0 -1.7341 0.4357 0.2972
0 -1.7423 0.4418 0.3002
0 -1.7503 0.4449 0.3033
0 -1.7582 0.4479 0.3033
0 -1.7662 0.4510 0.3064
0 -1.7742 0.4540 0.3064
0 -1.7820 0.4571 0.3094
0 -1.7909 0.4571 0.3125
0 -1.7981 0.4602 0.3125
0 -1.8062 0.4632 0.3156
0 -1.8142 0.4663 0.3186
0 -1.8222 0.4663 0.3217
0 -1.8301 0.4694 0.3248
0 -1.8382 0.4724 0.3278
0 -1.8462 0.4755 0.3309
0 -1.8541 0.4786 0.3370
0 -1.8622 0.4816 0.3401
0 -1.8702 0.4877 0.3462
0 -1.8785 0.4877 0.3523
0 -1.8862 0.4908 0.3554
0 -1.8943 0.4969 0.3646
0 -1.9022 0.4969 0.3676
0 -1.9102 0.5000 0.3707
0 -1.9181 0.5031 0.3799
0 -1.9261 0.5031 0.3830
0 -1.9341 0.5031 0.3860
0 -1.9422 0.5061 0.3922
0 -1.9502 0.5061 0.3952
0 -1.9582 0.5092 0.4013
0 -1.9662 0.5092 0.4044
0 -1.9745 0.5092 0.4075
0 -1.9822 0.5123 0.4136
0 -1.9902 0.5123 0.4167
0 -1.9982 0.5123 0.4228
0 -2.0062 0.5153 0.4289
0 -2.0142 0.5153 0.4320
0 -2.0222 0.5153 0.4412
0 -2.0301 0.5153 0.4442
0 -2.0382 0.5184 0.4473
0 -2.0461 0.5184 0.4565
0 -2.0622 0.5214 0.4596
0 -2.0702 0.5214 0.4657
0 -2.0782 0.5214 0.4687
0 -2.0862 0.5245 0.4779
0 -2.0942 0.5245 0.4810
0 -2.1022 0.5245 0.4841
0 -2.1103 0.5276 0.4933
0 -2.1181 0.5276 0.4963
0 -2.1261 0.5276 0.4994
0 -2.1342 0.5306 0.5025
0 -2.1422 0.5306 0.5055
0 -2.1501 0.5306 0.5086
0 -2.1582 0.5306 0.5147
0 -2.1662 0.5337 0.5178
0 -2.1741 0.5368 0.5239
0 -2.1821 0.5368 0.5300
0 -2.1912 0.5398 0.5362
0 -2.1981 0.5429 0.5515
0 -2.2062 0.5460 0.5576
0 -2.2142 0.5460 0.5607
0 -2.2222 0.5521 0.5699
0 -2.2302 0.5521 0.5760
0 -2.2382 0.5551 0.5821
0 -2.2461 0.5551 0.5852
0 -2.2541 0.5551 0.5882
0 -2.2621 0.5582 0.5913
0 -2.2702 0.5582 0.5944
0 -2.2785 0.5613 0.5974
0 -2.2862 0.5613 0.6005
0 -2.2942 0.5643 0.6036
0 -2.3022 0.5643 0.6066
0 -2.3104 0.5674 0.6127
0 -2.3182 0.5705 0.6158
0 -2.3262 0.5766 0.6250
0 -2.3342 0.5766 0.6281
0 -2.3422 0.5797 0.6311
0 -2.3502 0.5827 0.6373
0 -2.3582 0.5858 0.6403
0 -2.3662 0.5888 0.6434
0 -2.3747 0.5919 0.6464
0 -2.3902 0.5950 0.6495
0 -2.3981 0.5980 0.6526
0 -2.4062 0.5980 0.6556
0 -2.4141 0.6011 0.6556
0 -2.4222 0.6042 0.6587
0 -2.4302 0.6072 0.6618
0 -2.4382 0.6103 0.6648
0 -2.4461 0.6134 0.6648
0 -2.4542 0.6134 0.6679
0 -2.4622 0.6195 0.6710
0 -2.4783 0.6225 0.6710
0 -2.4862 0.6256 0.6740
0 -2.4942 0.6287 0.6740
0 -2.5022 0.6379 0.6771
0 -2.5102 0.6409 0.6771
0 -2.5181 0.6440 0.6771
0 -2.5262 0.6501 0.6771
0 -2.5341 0.6532 0.6801
0 -2.5423 0.6562 0.6801
0 -2.5501 0.6624 0.6801
0 -2.5584 0.6654 0.6801
0 -2.5662 0.6746 0.6801
0 -2.5741 0.6777 0.6801
0 -2.5823 0.6808 0.6801
0 -2.5915 0.6900 0.6801
0 -2.5980 0.6930 0.6801
0 -2.6062 0.6961 0.6801
0 -2.6142 0.7022 0.6801
0 -2.6222 0.7053 0.6771
0 -2.6302 0.7083 0.6771
0 -2.6382 0.7114 0.6740
0 -2.6461 0.7145 0.6740
0 -2.6541 0.7175 0.6710
0 -2.6621 0.7206 0.6710
0 -2.6701 0.7237 0.6679
0 -2.6782 0.7267 0.6648
0 -2.6862 0.7298 0.6648
0 -2.7022 0.7359 0.6618
0 -2.7183 0.7420 0.6618
0 -2.7262 0.7482 0.6587
0 -2.7341 0.7543 0.6556
0 -2.7425 0.7635 0.6526
0 -2.7501 0.7665 0.6526
0 -2.7581 0.7727 0.6495
0 -2.7661 0.7788 0.6464
0 -2.7755 0.7819 0.6464
0 -2.7821 0.7880 0.6464
0 -2.7902 0.7941 0.6434
0 -2.7981 0.8002 0.6434
0 -2.8062 0.8064 0.6403
0 -2.8141 0.8125 0.6403
0 -2.8222 0.8156 0.6373
0 -2.8301 0.8217 0.6373
0 -2.8382 0.8248 0.6373
0 -2.8462 0.8278 0.6373
0 -2.8542 0.8339 0.6373
0 -2.8622 0.8339 0.6342
0 -2.8701 0.8370 0.6342
0 -2.8780 0.8431 0.6342
0 -2.8861 0.8462 0.6342
0 -2.8941 0.8523 0.6342
0 -2.9021 0.8554 0.6342
0 -2.9102 0.8585 0.6342
0 -2.9182 0.8646 0.6342
0 -2.9265 0.8676 0.6342
0 -2.9342 0.8707 0.6373
0 -2.9423 0.8799 0.6373
0 -2.9502 0.8830 0.6403
0 -2.9586 0.8891 0.6403
0 -2.9662 0.8952 0.6434
0 -2.9742 0.9013 0.6464
0 -2.9822 0.9105 0.6526
0 -2.9916 0.9136 0.6526
0 -2.9982 0.9167 0.6556
0 -3.0062 0.9228 0.6587
0 -3.0142 0.9289 0.6618
0 -3.0222 0.9320 0.6648
0 -3.0302 0.9442 0.6740
0 -3.0381 0.9504 0.6801
0 -3.0462 0.9596 0.6893
0 -3.0542 0.9657 0.6924
0 -3.0621 0.9688 0.6955
0 -3.0702 0.9749 0.6985
0 -3.0782 0.9749 0.7016
0 -3.0861 0.9779 0.7047
0 -3.0942 0.9810 0.7077
0 -3.1022 0.9841 0.7108
0 -3.1103 0.9902 0.7169
0 -3.1182 0.9902 0.7200
0 -3.1263 0.9933 0.7200
0 -3.1341 0.9994 0.7292
0 -3.1424 1.0025 0.7322
0 -3.1502 1.0055 0.7353
0 -3.1582 1.0086 0.7414
0 -3.1662 1.0116 0.7445
0 -3.1752 1.0147 0.7475
0 -3.1822 1.0178 0.7506
0 -3.1902 1.0208 0.7537
0 -3.1982 1.0208 0.7567
0 -3.2085 1.0239 0.7598
0 -3.2222 1.0270 0.7629
0 -3.2301 1.0300 0.7690
0 -3.2382 1.0331 0.7721
0 -3.2461 1.0362 0.7782
0 -3.2542 1.0392 0.7812
0 -3.2622 1.0453 0.7874
0 -3.2782 1.0484 0.7935
0 -3.2861 1.0545 0.7996
0 -3.3022 1.0576 0.8027
0 -3.3102 1.0607 0.8088
0 -3.3264 1.0637 0.8119
0 -3.3342 1.0668 0.8150
0 -3.3422 1.0699 0.8211
0 -3.3502 1.0729 0.8241
0 -3.3589 1.0760 0.8272
0 -3.3662 1.0790 0.8303
0 -3.3742 1.0821 0.8364
0 -3.3822 1.0852 0.8364
0 -3.3902 1.0882 0.8395
0 -3.3982 1.0913 0.8425
0 -3.4062 1.0913 0.8456
0 -3.4141 1.0944 0.8456
0 -3.4222 1.0974 0.8487
0 -3.4301 1.1005 0.8517
0 -3.4381 1.1036 0.8548
0 -3.4543 1.1066 0.8578
0 -3.4622 1.1097 0.8578
0 -3.4702 1.1097 0.8609
0 -3.4862 1.1127 0.8640
0 -3.5102 1.1158 0.8670
0 -3.5262 1.1189 0.8670
0 -3.5341 1.1219 0.8732
0 -3.5425 1.1250 0.8732
0 -3.5501 1.1311 0.8793
0 -3.5582 1.1342 0.8824
0 -3.5661 1.1373 0.8885
0 -3.5743 1.1403 0.8915
0 -3.5821 1.1464 0.8946
0 -3.5902 1.1464 0.9007
0 -3.5982 1.1495 0.9007
0 -3.6063 1.1495 0.9038
0 -3.6142 1.1526 0.9038
0 -3.6222 1.1526 0.9069
0 -3.6302 1.1556 0.9069
