# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0190 0.9559
0 -0.2222 0.0190 0.9528
0 -0.2301 0.0190 0.9498
0 -0.2382 0.0190 0.9467
0 -0.2461 0.0190 0.9436
0 -0.2542 0.0190 0.9406
0 -0.2702 0.0190 0.9375
0 -0.2781 0.0159 0.9344
0 -0.3021 0.0159 0.9314
0 -0.3102 0.0159 0.9283
0 -0.3181 0.0159 0.9252
0 -0.3422 0.0159 0.9222
0 -0.3582 0.0159 0.9191
0 -0.3661 0.0129 0.9161
0 -0.3752 0.0129 0.9130
0 -0.3821 0.0129 0.9099
0 -0.3901 0.0129 0.9069
0 -0.3981 0.0129 0.9038
0 -0.4081 0.0129 0.8977
0 -0.4221 0.0129 0.8946
0 -0.4301 0.0098 0.8915
0 -0.4462 0.0098 0.8885
0 -0.4622 0.0098 0.8854
0 -0.4701 0.0098 0.8824
0 -0.4862 0.0098 0.8793
0 -0.4941 0.0067 0.8762
0 -0.5021 0.0067 0.8732
0 -0.5181 0.0067 0.8701
0 -0.5261 0.0067 0.8670
0 -0.5341 0.0037 0.8640
0 -0.5421 0.0037 0.8609
0 -0.5502 0.0037 0.8578
0 -0.5581 0.0037 0.8548
0 -0.5742 0.0037 0.8517
0 -0.5935 0.0037 0.8487
0 -0.5982 0.0037 0.8456
0 -0.6061 0.0006 0.8425
0 -0.6141 0.0006 0.8395
0 -0.6222 0.0006 0.8364
0 -0.6381 0.0006 0.8333
0 -0.6461 0.0006 0.8303
0 -0.6542 0.0006 0.8272
0 -0.6621 0.0006 0.8241
0 -0.6701 0.0006 0.8211
0 -0.6781 -0.0025 0.8211
0 -0.6861 -0.0025 0.8180
0 -0.6941 -0.0025 0.8150
0 -0.7021 -0.0025 0.8119
0 -0.7101 -0.0025 0.8088
0 -0.7262 -0.0025 0.8058
0 -0.7341 -0.0055 0.8027
0 -0.7502 -0.0055 0.7966
0 -0.7662 -0.0055 0.7935
0 -0.7741 -0.0055 0.7904
0 -0.7821 -0.0086 0.7874
0 -0.7901 -0.0086 0.7843
0 -0.7981 -0.0086 0.7812
0 -0.8222 -0.0086 0.7782
0 -0.8462 -0.0086 0.7751
0 -0.8541 -0.0116 0.7751
0 -0.8621 -0.0116 0.7721
0 -0.8782 -0.0116 0.7690
0 -0.8861 -0.0116 0.7659
0 -0.9102 -0.0116 0.7629
0 -0.9342 -0.0116 0.7598
