# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0680 0.9620
0 -0.2140 0.0650 0.9620
0 -0.2218 0.0619 0.9620
0 -0.2298 0.0588 0.9589
0 -0.2461 0.0558 0.9589
0 -0.2620 0.0527 0.9559
0 -0.2700 0.0496 0.9559
0 -0.2782 0.0466 0.9528
0 -0.2939 0.0435 0.9528
0 -0.3018 0.0404 0.9498
0 -0.3179 0.0374 0.9467
0 -0.3340 0.0343 0.9467
0 -0.3418 0.0312 0.9436
0 -0.3581 0.0282 0.9436
0 -0.3741 0.0282 0.9406
0 -0.3819 0.0251 0.9406
0 -0.4060 0.0251 0.9375
0 -0.4138 0.0221 0.9375
0 -0.4220 0.0190 0.9344
0 -0.4540 0.0159 0.9314
0 -0.4618 0.0159 0.9283
0 -0.4699 0.0129 0.9252
0 -0.4860 0.0098 0.9222
0 -0.4938 0.0098 0.9191
0 -0.5099 0.0067 0.9161
0 -0.5260 0.0067 0.9130
0 -0.5338 0.0037 0.9099
0 -0.5580 0.0037 0.9069
0 -0.5820 0.0006 0.9038
0 -0.5979 0.0006 0.9007
0 -0.6139 0.0006 0.8977
0 -0.6220 -0.0025 0.8977
0 -0.6299 -0.0025 0.8946
0 -0.6459 -0.0025 0.8915
0 -0.6619 -0.0025 0.8885
0 -0.6698 -0.0055 0.8854
0 -0.6860 -0.0055 0.8824
0 -0.6939 -0.0055 0.8793
0 -0.7019 -0.0086 0.8762
0 -0.7099 -0.0086 0.8732
0 -0.7179 -0.0086 0.8701
0 -0.7258 -0.0116 0.8670
0 -0.7342 -0.0116 0.8640
0 -0.7499 -0.0147 0.8578
0 -0.7661 -0.0147 0.8548
0 -0.7739 -0.0178 0.8517
0 -0.7901 -0.0178 0.8487
0 -0.7983 -0.0178 0.8456
0 -0.8059 -0.0208 0.8425
0 -0.8139 -0.0208 0.8364
0 -0.8220 -0.0208 0.8333
0 -0.8306 -0.0208 0.8303
0 -0.8377 -0.0239 0.8272
0 -0.8459 -0.0239 0.8241
0 -0.8539 -0.0239 0.8211
0 -0.8701 -0.0239 0.8180
0 -0.8780 -0.0270 0.8150
0 -0.8940 -0.0270 0.8119
0 -0.9019 -0.0270 0.8088
0 -0.9259 -0.0270 0.8027
0 -0.9419 -0.0300 0.7996
0 -0.9582 -0.0300 0.7966
0 -0.9658 -0.0300 0.7935
0 -0.9900 -0.0300 0.7904
0 -0.9979 -0.0300 0.7874
0 -1.0059 -0.0300 0.7843
0 -1.0219 -0.0300 0.7812
0 -1.0298 -0.0300 0.7782
0 -1.0460 -0.0300 0.7751
0 -1.0619 -0.0300 0.7721
0 -1.0698 -0.0300 0.7690
0 -1.0860 -0.0300 0.7659
0 -1.0939 -0.0300 0.7629
0 -1.1020 -0.0300 0.7598
0 -1.1181 -0.0300 0.7567
0 -1.1341 -0.0300 0.7537
0 -1.1421 -0.0300 0.7506
0 -1.1581 -0.0300 0.7475
0 -1.1658 -0.0300 0.7445
0 -1.1820 -0.0300 0.7384
0 -1.1980 -0.0300 0.7353
0 -1.2058 -0.0300 0.7322
0 -1.2138 -0.0300 0.7292
0 -1.2218 -0.0300 0.7261
0 -1.2299 -0.0300 0.7230
