# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.1170 0.5392
0 -0.1183 0.1201 0.5392
0 -0.1263 0.1262 0.5392
0 -0.1342 0.1293 0.5392
0 -0.1424 0.1354 0.5392
0 -0.1583 0.1385 0.5392
0 -0.1662 0.1446 0.5392
0 -0.1822 0.1477 0.5392
0 -0.1902 0.1569 0.5392
0 -0.1982 0.1599 0.5392
0 -0.2062 0.1661 0.5392
0 -0.2143 0.1691 0.5392
0 -0.2222 0.1722 0.5392
0 -0.2303 0.1783 0.5392
0 -0.2385 0.1814 0.5392
0 -0.2463 0.1844 0.5392
0 -0.2541 0.1936 0.5423
0 -0.2622 0.1967 0.5423
0 -0.2702 0.2028 0.5423
0 -0.2782 0.2059 0.5423
0 -0.2863 0.2089 0.5453
0 -0.2942 0.2151 0.5453
0 -0.3022 0.2181 0.5484
0 -0.3102 0.2212 0.5484
0 -0.3182 0.2273 0.5515
0 -0.3262 0.2304 0.5515
0 -0.3342 0.2335 0.5545
0 -0.3423 0.2396 0.5545
0 -0.3502 0.2426 0.5545
0 -0.3582 0.2488 0.5576
0 -0.3662 0.2518 0.5607
0 -0.3742 0.2549 0.5607
0 -0.3822 0.2580 0.5637
0 -0.3903 0.2610 0.5668
0 -0.3983 0.2641 0.5668
0 -0.4063 0.2672 0.5699
0 -0.4143 0.2702 0.5699
0 -0.4233 0.2702 0.5729
0 -0.4302 0.2763 0.5760
0 -0.4462 0.2855 0.5821
0 -0.4541 0.2886 0.5852
0 -0.4621 0.2917 0.5882
0 -0.4701 0.3009 0.5944
0 -0.4781 0.3070 0.5974
0 -0.4863 0.3100 0.6005
0 -0.4941 0.3192 0.6066
0 -0.5022 0.3223 0.6097
0 -0.5102 0.3254 0.6097
0 -0.5182 0.3284 0.6158
0 -0.5261 0.3315 0.6158
0 -0.5342 0.3376 0.6219
0 -0.5422 0.3407 0.6250
0 -0.5582 0.3468 0.6311
0 -0.5662 0.3499 0.6342
0 -0.5823 0.3560 0.6373
0 -0.5904 0.3560 0.6403
0 -0.5982 0.3591 0.6434
0 -0.6063 0.3621 0.6464
0 -0.6142 0.3652 0.6464
0 -0.6222 0.3683 0.6526
0 -0.6302 0.3713 0.6556
0 -0.6462 0.3744 0.6587
0 -0.6542 0.3744 0.6618
0 -0.6622 0.3775 0.6618
0 -0.6782 0.3775 0.6648
0 -0.6862 0.3805 0.6648
0 -0.6942 0.3805 0.6679
0 -0.7103 0.3836 0.6710
0 -0.7181 0.3836 0.6740
0 -0.7261 0.3866 0.6771
0 -0.7342 0.3897 0.6832
0 -0.7503 0.3897 0.6863
0 -0.7582 0.3958 0.6955
0 -0.7662 0.3958 0.6985
0 -0.7742 0.4020 0.7047
0 -0.7822 0.4020 0.7077
0 -0.7904 0.4020 0.7108
0 -0.7982 0.4050 0.7169
0 -0.8062 0.4081 0.7200
0 -0.8142 0.4081 0.7230
0 -0.8222 0.4112 0.7292
0 -0.8302 0.4112 0.7322
0 -0.8382 0.4142 0.7384
0 -0.8462 0.4142 0.7414
0 -0.8542 0.4142 0.7445
0 -0.8622 0.4173 0.7475
0 -0.8702 0.4173 0.7506
0 -0.8782 0.4203 0.7537
0 -0.8862 0.4203 0.7598
0 -0.8943 0.4234 0.7629
0 -0.9023 0.4234 0.7659
0 -0.9102 0.4265 0.7721
0 -0.9185 0.4265 0.7751
0 -0.9262 0.4295 0.7812
0 -0.9342 0.4295 0.7843
0 -0.9422 0.4326 0.7843
0 -0.9502 0.4326 0.7904
0 -0.9582 0.4326 0.7935
0 -0.9662 0.4357 0.7966
0 -0.9742 0.4357 0.8027
0 -0.9822 0.4387 0.8058
0 -0.9902 0.4387 0.8119
0 -1.0062 0.4387 0.8150
0 -1.0142 0.4418 0.8180
0 -1.0383 0.4418 0.8211
0 -1.0623 0.4418 0.8241
0 -1.0783 0.4418 0.8272
0 -1.0862 0.4418 0.8303
0 -1.0943 0.4449 0.8303
0 -1.1025 0.4449 0.8364
0 -1.1183 0.4449 0.8395
0 -1.1262 0.4479 0.8456
0 -1.1423 0.4479 0.8487
0 -1.1502 0.4510 0.8517
0 -1.1581 0.4510 0.8548
0 -1.1662 0.4510 0.8578
0 -1.1823 0.4510 0.8609
0 -1.1902 0.4540 0.8640
0 -1.2062 0.4540 0.8670
0 -1.2141 0.4571 0.8732
0 -1.2303 0.4571 0.8762
0 -1.2382 0.4602 0.8824
0 -1.2462 0.4632 0.8824
0 -1.2542 0.4632 0.8854
0 -1.2623 0.4632 0.8885
0 -1.2701 0.4663 0.8885
0 -1.2783 0.4663 0.8915
0 -1.2943 0.4663 0.8946
0 -1.3021 0.4694 0.8977
0 -1.3102 0.4724 0.8977
0 -1.3183 0.4724 0.9007
0 -1.3262 0.4755 0.9007
0 -1.3342 0.4755 0.9038
0 -1.3422 0.4786 0.9069
0 -1.3502 0.4816 0.9069
0 -1.3585 0.4816 0.9099
0 -1.3662 0.4847 0.9130
0 -1.3744 0.4877 0.9130
0 -1.3822 0.4908 0.9161
0 -1.3902 0.4939 0.9161
0 -1.3983 0.4939 0.9191
0 -1.4062 0.4969 0.9222
0 -1.4143 0.5000 0.9222
0 -1.4222 0.5000 0.9252
0 -1.4302 0.5061 0.9283
0 -1.4381 0.5092 0.9283
0 -1.4462 0.5123 0.9314
0 -1.4541 0.5184 0.9344
0 -1.4621 0.5214 0.9344
0 -1.4701 0.5245 0.9375
0 -1.4782 0.5276 0.9375
0 -1.4862 0.5306 0.9375
0 -1.4942 0.5368 0.9406
0 -1.5103 0.5398 0.9406
0 -1.5182 0.5460 0.9436
0 -1.5262 0.5490 0.9436
0 -1.5341 0.5521 0.9436
0 -1.5422 0.5551 0.9436
0 -1.5662 0.5582 0.9436
0 -1.5823 0.5613 0.9436
0 -1.6063 0.5643 0.9436
0 -1.6303 0.5674 0.9436
0 -1.6382 0.5705 0.9436
0 -1.6462 0.5735 0.9436
0 -1.6702 0.5766 0.9436
0 -1.6783 0.5797 0.9436
0 -1.6943 0.5827 0.9436
0 -1.7022 0.5827 0.9406
0 -1.7102 0.5888 0.9406
0 -1.7262 0.5919 0.9406
0 -1.7342 0.5950 0.9406
0 -1.7422 0.5980 0.9406
0 -1.7501 0.6011 0.9406
0 -1.7582 0.6042 0.9406
0 -1.7662 0.6072 0.9375
0 -1.7742 0.6103 0.9375
0 -1.7903 0.6134 0.9375
0 -1.7982 0.6164 0.9375
0 -1.8143 0.6195 0.9375
0 -1.8302 0.6225 0.9375
0 -1.8382 0.6256 0.9375
0 -1.8543 0.6287 0.9344
0 -1.8943 0.6317 0.9344
0 -1.9021 0.6348 0.9344
0 -1.9102 0.6379 0.9314
